Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=204847187, unfit=0.18, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=606934655, unfit=0.26, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=972846729, unfit=0.96, hasFingerprints=false]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=477846748, unfit=0.43, hasFingerprints=false]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=526828204, unfit=0.79, hasFingerprints=true]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=871357044, unfit=0.77, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=331975097, unfit=0.74, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=814544188, unfit=0.9, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=14547902, unfit=0.73, hasFingerprints=false]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=573205372, unfit=0.35, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=134369484, unfit=0.53, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=776032951, unfit=0.66, hasFingerprints=true]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=876749744, unfit=0.04, hasFingerprints=true]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=873409220, unfit=0.6, hasFingerprints=false]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=741210406, unfit=0.4, hasFingerprints=true]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=598834550, unfit=0.43, hasFingerprints=false]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=567639200, unfit=0.84, hasFingerprints=true]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=658466011, unfit=0.21, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=687196885, unfit=0.38, hasFingerprints=true]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=34853151, unfit=0.6, hasFingerprints=true]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=530825671, unfit=0.78, hasFingerprints=false]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=332203951, unfit=0.3, hasFingerprints=true]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=427487723, unfit=0.51, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=482081939, unfit=0.51, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=119908674, unfit=0.67, hasFingerprints=true]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=639596886, unfit=0.1, hasFingerprints=true]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=454957225, unfit=0.87, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=603912239, unfit=0.35, hasFingerprints=true]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=723418054, unfit=0.52, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=234563777, unfit=0.62, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=766772660, unfit=0.51, hasFingerprints=false]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=999755907, unfit=0.65, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=376207935, unfit=0.55, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=574864208, unfit=0.04, hasFingerprints=true]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=352099793, unfit=0.01, hasFingerprints=false]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=41196147, unfit=0.82, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=835486937, unfit=0.34, hasFingerprints=false]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=218593457, unfit=0.99, hasFingerprints=false]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=671030791, unfit=0.11, hasFingerprints=true]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=351302573, unfit=0.36, hasFingerprints=true]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=631428717, unfit=0.52, hasFingerprints=true]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=891492862, unfit=0.1, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=273310503, unfit=0.51, hasFingerprints=true]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=505176268, unfit=0.92, hasFingerprints=true]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=183046469, unfit=0.61, hasFingerprints=true]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=275390984, unfit=0.56, hasFingerprints=false]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=48707146, unfit=0.61, hasFingerprints=false]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=495512423, unfit=0.74, hasFingerprints=false]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=28203543, unfit=0.07, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=350969666, unfit=0.01, hasFingerprints=true]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=894416281, unfit=0.91, hasFingerprints=false]
Weapon [name=Kel-Tec Sport Utility Carbine California Approved, Caliber [value=223, additionalValue=Remington], serialNumber=359411512, unfit=0.45, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=195676596, unfit=0.32, hasFingerprints=false]
Weapon [name=Springfield SAINT AR15, Caliber [value=223, additionalValue=Remington], serialNumber=752775837, unfit=0.44, hasFingerprints=false]
