Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=923331590, unfit=0.99, hasFingerprints=true]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=926984797, unfit=0.93, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=699602333, unfit=0.74, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=118982862, unfit=0.12, hasFingerprints=false]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=734032618, unfit=0.2, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=542838206, unfit=0.4, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=546452890, unfit=0.18, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=349760084, unfit=0.92, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=528039089, unfit=0.2, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=658829071, unfit=0.65, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=117743964, unfit=0.89, hasFingerprints=true]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=228931523, unfit=0.7, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=529980410, unfit=0.37, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=939523889, unfit=0.37, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=771603618, unfit=0.56, hasFingerprints=false]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=390925390, unfit=0.59, hasFingerprints=true]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=958958912, unfit=0.15, hasFingerprints=true]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=89342207, unfit=0.47, hasFingerprints=true]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=946828296, unfit=0.96, hasFingerprints=true]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=168246267, unfit=0.89, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=377765788, unfit=0.26, hasFingerprints=true]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=305819989, unfit=0.81, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=880483874, unfit=0.64, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=449573704, unfit=0.64, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=482849983, unfit=0.57, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=854583314, unfit=0.08, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=988348205, unfit=0.42, hasFingerprints=false]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=450172664, unfit=0.98, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=194518025, unfit=0.3, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=7295747, unfit=0.85, hasFingerprints=false]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=674266218, unfit=0.06, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=467858766, unfit=0.26, hasFingerprints=false]
