Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=665112550, unfit=0.77, hasFingerprints=true]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=694386876, unfit=0.48, hasFingerprints=true]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=771637111, unfit=0.01, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=243914945, unfit=0.06, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=750416894, unfit=0.02, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=603473087, unfit=0.65, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=587883599, unfit=0.64, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=965601776, unfit=0.31, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=998413356, unfit=0.79, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=791282039, unfit=1.0, hasFingerprints=true]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=610407581, unfit=0.75, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=146825161, unfit=0.36, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=440482777, unfit=0.06, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=655680103, unfit=0.59, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=454549293, unfit=0.98, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=239304358, unfit=0.14, hasFingerprints=true]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=269458235, unfit=0.8, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=550285918, unfit=0.02, hasFingerprints=true]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=515974245, unfit=0.27, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=694827526, unfit=0.4, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=531476341, unfit=0.46, hasFingerprints=true]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=97492100, unfit=0.82, hasFingerprints=true]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=779787330, unfit=0.44, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=3145071, unfit=0.62, hasFingerprints=true]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=949150705, unfit=0.46, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=281823215, unfit=0.95, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=222311546, unfit=0.96, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=139856655, unfit=0.05, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=787170481, unfit=0.68, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=690099491, unfit=0.11, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=456093967, unfit=0.58, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=916959478, unfit=0.31, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=771224482, unfit=0.56, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=967237260, unfit=0.04, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=12985832, unfit=0.93, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=491214848, unfit=0.72, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=152227887, unfit=0.3, hasFingerprints=true]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=951401541, unfit=0.67, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=327586873, unfit=0.76, hasFingerprints=false]
